gene,log2FoldChange,logCPM,LR,pvalue,padj,FC
S100a6,-1.4589952194798,6.02561047978046,28.6514094791324,8.66508992629075e-08,1.25780621140578e-05,-2.74916828147368
Cyb561a3,-1.0761019387069,7.91492004987262,28.3671862706233,1.00351933068119e-07,1.42040136473094e-05,-2.10833181293945
Rab6b,-2.27801904177375,3.49229571932587,28.3657345039508,1.00427217593377e-07,1.42040136473094e-05,-4.85011529129236
Ecm1,1.48944240725506,6.51737090003888,28.0707026750087,1.16963158771592e-07,1.63333869312431e-05,2.80780434265789
Slc44a2,-0.894382290504497,7.41863234878524,27.9099428284417,1.27094992305913e-07,1.75263994389854e-05,-1.85881383840347
Tmem100,-2.28906679550321,3.69429005977659,27.878932035064,1.29148369303272e-07,1.75896890142431e-05,-4.88739868368812
Cdh17,-5.44644499362976,2.31703819178894,27.7254072104811,1.39814320971164e-07,1.88101413287059e-05,-43.6057050431867
Vcam1,1.72067135416205,6.75086813026523,27.6994913104703,1.41699967468126e-07,1.88341450735947e-05,3.29589744906189
Cndp2,0.848604029034689,8.35296039060549,27.6712458194728,1.43784153711843e-07,1.88836521874887e-05,1.80075764483
Fcrl1,-2.42726934579049,3.36948283499918,27.3505761516827,1.6971387104755e-07,2.20268638281949e-05,-5.37874407436127
C5ar1,0.954036541940156,8.20978605996454,26.7959302370466,2.26113028105171e-07,2.90055689076308e-05,1.93728544722409
Sort1,-1.3518209975663,5.77305762075188,26.5785534922619,2.53037117520454e-07,3.20862698906397e-05,-2.55234083623941
Rnf167,-0.924622244653573,6.44533873170288,26.4646528535762,2.68404742321453e-07,3.32792490283253e-05,-1.89818715539932
Gm20605,-0.909403052357957,6.43487075997845,26.4641231703716,2.68478350572965e-07,3.32792490283253e-05,-1.87826816176494
Fmn1,1.27859196253153,4.54650479858352,26.3216659473195,2.89028072565523e-07,3.54284188504761e-05,2.42602087192237
Cbfa2t3,-2.06335573903689,4.05251855294065,26.2173079208417,3.05075918669696e-07,3.69845882941108e-05,-4.17957352159809
Pla2g7,1.14261436947183,8.03227205157789,25.9976628803429,3.41830918762697e-07,4.09899858238051e-05,2.20780747135039
Colec12,2.7521862742733,4.00058248458584,25.8873383201619,3.61935427975149e-07,4.29341036712027e-05,6.73737347197029
Il6ra,-0.938003537008985,6.17307644489595,25.749783914716,3.88670530266328e-07,4.56150349989163e-05,-1.91587513352902
Tmc7,-2.03164732180195,3.42443828774192,25.5957750724788,4.20960094543263e-07,4.84504444975119e-05,-4.08871448170935
Arhgap19,0.917250384643542,5.82533145222783,25.5927812643116,4.21613730217652e-07,4.84504444975119e-05,1.88851256765583
Ear2,-3.06403991066648,3.54194401275689,25.5726686202175,4.26031363668805e-07,4.84533814844768e-05,-8.36311215529108
Agmo,-1.85169071257084,4.53665788475936,25.4030955846205,4.65171072786648e-07,5.2364972193697e-05,-3.60922907420566
Hmox1,0.925673374488526,7.44159327548162,25.3667155858118,4.74026902304887e-07,5.25724787816052e-05,1.89957065511716
Acod1,1.0496581735437,8.09895441229421,25.3525216649215,4.77527730988119e-07,5.25724787816052e-05,2.07003932264461
Cd14,0.868219258995968,9.42880599777765,25.3373003594505,4.81310764769953e-07,5.25724787816052e-05,1.82540837929936
Gzmc,5.04173436937811,3.65192965120402,25.05172481036,5.58128077303055e-07,6.0365381851052e-05,32.9392173060528
Plac8,-1.69067569967352,8.74797392837666,24.9649107606622,5.83832486048116e-07,6.25324270493477e-05,-3.22807858358933
Krt80,-1.44880276948611,4.29498857994343,24.9140569306036,5.99437443497376e-07,6.35864795832986e-05,-2.72981421797316
Abhd15,-0.978374347066374,5.53503122662695,24.6528233932984,6.86441127995526e-07,7.21220811813966e-05,-1.9702440536952
Zfp366,-1.80718619500535,4.09797010091411,24.6182170280888,6.98879279001448e-07,7.27361906221129e-05,-3.49959068955351
Tmem44,-2.34567346243685,3.31410021491063,24.5498800097997,7.24108511069955e-07,7.4657617702091e-05,-5.08297615335268
Ctla2b,0.959181751984992,5.48149436570781,24.3375385085472,8.08480646233731e-07,8.25848008263937e-05,1.9442068934224
Igf2r,1.90822800708062,4.53382546460221,24.1515931709291,8.90424744169019e-07,9.01207869511249e-05,3.7534779480366
Cpd,0.892133755174705,7.54134727569002,24.1286500125981,9.01096486541967e-07,9.0371785813918e-05,1.85591901097112
Fam20c,1.24790823424338,4.67919942722193,24.0853587294846,9.21583499368581e-07,9.08970942763455e-05,2.3749682623193
Ccl4,1.02363885955874,9.00561843426122,24.0772520704845,9.25471472506034e-07,9.08970942763455e-05,2.03304036514514
Bcl11a,-2.80719349015481,2.79656371677877,24.0656747013438,9.31052542895852e-07,9.08970942763455e-05,-6.99921677134298
Cd177,-3.12841596628187,2.74130556049701,24.0370484190503,9.44997667934971e-07,9.14492480057772e-05,-8.7447428848327
Gm9733,-2.79223213281177,2.99882637512289,24.0090124390249,9.58858235219756e-07,9.19836873995161e-05,-6.92700700518786
Ccr3,-3.78263161313116,2.82255982965828,23.984222638096,9.71283676628439e-07,9.20041972225016e-05,-13.7621275324737
Bcar3,1.93178957869058,3.96217731363904,23.9753865220285,9.75751547773086e-07,9.20041972225016e-05,3.81528169156531
Myo1e,0.869874156513883,7.09241467992105,23.9178298381303,1.00536303676855e-06,9.33686984906654e-05,1.82750348392696
Aprt,0.866326798874283,6.70933165187854,23.9144117013921,1.00714966646022e-06,9.33686984906654e-05,1.82301546345655
Arhgef40,-1.07041005089028,5.85014743824646,23.8726087805326,1.02925899219769e-06,9.4281374363807e-05,-2.10003016480196
N4bp2l1,-1.10321913721078,5.12496430716702,23.8636003858807,1.03408686530281e-06,9.4281374363807e-05,-2.14833523842115
Ffar2,-3.24701950646469,3.08885962108924,23.8429346365753,1.04524825211955e-06,9.45178583392041e-05,-9.49402274765142
BC035044,-1.32222404644318,5.34223732706551,23.8254604370014,1.0547801275772e-06,9.46043444506638e-05,-2.50051289757184
Tnf,1.1686034237528,8.67684338530347,23.7885154106593,1.07522097063364e-06,9.56599818389546e-05,2.24793983608733
Asb11,3.06134075191419,2.59890532897464,23.6909381415453,1.13113897032038e-06,9.98298009645954e-05,8.3474801170042
Mif,0.919357968715251,8.04427394831532,23.6488293139009,1.15616223392979e-06,0.000101228426704075,1.89127344752217
Cytip,-1.577067297112,7.45323842268715,23.605381120324,1.18256352298641e-06,0.000102240291363449,-2.9836272268097
Il18bp,1.01202694449899,8.06568103265155,23.599384917464,1.18625428703059e-06,0.000102240291363449,2.01674257513724
Slc39a2,3.06139123406224,2.59934904598219,23.4905873698045,1.2552638948121e-06,0.000107349389826102,8.34777221345417
Myo18b,-5.16364612872993,2.15653457781103,23.3444916525461,1.35430789060389e-06,0.000114928651147247,-35.8436618678107
Ppp1r9a,-1.49236564091247,5.27956257645045,23.2560294326687,1.41805182362493e-06,0.000118986221806142,-2.81349937110353
Chst7,-2.12307547965357,4.09595099269135,23.2483937869472,1.42369300928307e-06,0.000118986221806142,-4.35621596610705
Bank1,-2.35852086006639,3.64896089173536,23.1997718823918,1.46014648226236e-06,0.00012111530821292,-5.1284428979655
Ccl1,5.09118250488447,2.07419905373845,23.1484300760349,1.49965590588791e-06,0.000123464208610115,34.087774432923
Tnfrsf26,1.60333988617314,4.20823915537177,23.0868486310413,1.54846214376599e-06,0.000125444516866601,3.03845912937171
Ggt5,-1.43088842876607,4.52353898474273,23.0825295612677,1.55194440876473e-06,0.000125444516866601,-2.69612694966212
Fabp5,1.1429870749678,6.01877728926824,23.0752608309807,1.5578225898046e-06,0.000125444516866601,2.20837790949111
Galnt7,0.837002889466347,6.14434130395538,23.054885146793,1.57441960301265e-06,0.000125862297539388,1.78633528241971
Cstb,0.867007859414034,7.51684523430978,22.9061130443191,1.70109995737706e-06,0.000135011041221465,1.82387626699917
Tppp3,-1.57228969751497,4.17485790358629,22.8451939182876,1.75587847678686e-06,0.000138363223970804,-2.97376304950059
Apoc2,1.00066120992615,5.53197943663853,22.8181059369518,1.78080099373902e-06,0.000139331890517226,2.0009168416776
Nfkb1,-0.773116367543089,6.81288419720764,22.757952813229,1.83742167106359e-06,0.000142749548416715,-1.70895732043483
Cep68,-0.967913721796467,5.93236299717223,22.614079039771,1.98028121425113e-06,0.000152772464025304,-1.95600996716741
Ecscr,-1.55954748080944,5.07103263750409,22.3983416313232,2.21565242761354e-06,0.000169743594315504,-2.9476137339666
St3gal5,-1.64647150233125,3.76672903002452,22.3225198659794,2.30487742026497e-06,0.000175149439072657,-3.13067012698058
Padi2,-1.20599455879379,5.19204770976567,22.3104234032901,2.31944194013908e-06,0.000175149439072657,-2.30696250926362
Gabbr1,-2.8336375233296,3.21515920001173,22.2919025359057,2.34192075050887e-06,0.000175149439072657,-7.12869266038781
Rgs1,1.11931305159384,9.22113863452941,22.2855177414662,2.34972053868321e-06,0.000175149439072657,2.17243505998972
B3gnt7,1.67642143758656,3.8976545786463,22.1363906988343,2.53949846938935e-06,0.000187973133207531,3.19634123912183
Usp35,-1.34909932314894,5.01700910650812,22.1240807154053,2.55583484237941e-06,0.000187973133207531,-2.54753033076976
Pkm,0.910383074351723,11.0259736373021,22.0474005437829,2.65999669316877e-06,0.000194338301450582,1.87954450181352
Adamts16,-3.89068801161153,2.39059497615423,21.9323401831802,2.82433942125497e-06,0.000204987582205821,-14.8324808147113
Rgs16,2.43579566157827,3.58579198921101,21.881328726793,2.90042322836048e-06,0.000209133784674986,5.4106265271774
Eef2k,-1.43398489713248,5.34991931043672,21.7804325433036,3.05702051799723e-06,0.000218993833471075,-2.70191988384779
Tnfsf13b,0.92513651759223,6.27034259725116,21.7283061599422,3.14121945862733e-06,0.000223573761726301,1.89886391678586
Cdh23,-1.51232877791408,4.4475551679025,21.6385104699251,3.29175864618169e-06,0.000232786419132541,-2.85270146702829
Chst8,-3.8281471436912,2.35396617687809,21.5815985979598,3.39089601522623e-06,0.000235452711852947,-14.2032299416021
Aldoa,0.852576617314087,10.3047598539066,21.5724609247029,3.4070901516915e-06,0.000235452711852947,1.80572302329649
Slco2b1,-1.42389042811728,8.80175897936938,21.566101337854,3.41840663395378e-06,0.000235452711852947,-2.6830806635478
Tpi1,0.930178618940976,9.64534433837881,21.5657784287357,3.41898223534627e-06,0.000235452711852947,1.90551190141727
Tspan13,-0.922979734930965,7.03296186470104,21.5561582467467,3.43617536333615e-06,0.000235452711852947,-1.89602729719012
Lgals3,1.02554111398235,9.20130166693664,21.5032910429216,3.53221947949457e-06,0.00024053978578879,2.03572278289673
Cacnb3,-2.24427353617215,4.82915714625074,21.4513149055909,3.62927059916759e-06,0.00024563259662587,-4.7379846880711
Klhdc8b,-3.0145594980222,3.15311019412151,21.400890598386,3.72598072949645e-06,0.000250640362242712,-8.08114375768659
Cxcl1,2.20041614870143,3.60079774534721,21.3629948313969,3.80036043708013e-06,0.00025402395787089,4.59611898988662
Smap2,-0.984126185212754,5.7282154735236,21.3519423664141,3.82233294113196e-06,0.00025402395787089,-1.97811484086079
Bnip3,1.04545362692712,6.91339487568123,21.2967795069962,3.93391845785908e-06,0.000259450343142491,2.06401524536172
Odc1,1.0892271502506,4.89974576368861,21.2847264265706,3.95873178884149e-06,0.000259450343142491,2.12760030701168
Itgb3,-1.58180651832372,4.69119215293069,21.2770878110728,3.9745384328391e-06,0.000259450343142491,-2.99344449199672
Tubb6,1.04181920072382,7.08284153466206,21.2480965868016,4.0351086973428e-06,0.000261854818524034,2.05882213806286
Gm28035,-2.10555470987546,3.47552781988227,21.223222463096,4.08781507681589e-06,0.000263723835832941,-4.30363197125015
Slc39a12,-4.99906477275003,2.06949600912777,21.0500218685121,4.47447745568835e-06,0.000286990902855546,-31.9792627179911
Clec10a,-1.63927143887007,4.84435124678278,21.0021545865314,4.58767160178958e-06,0.000291915276538798,-3.11508480324715
Ms4a7,1.61791188897522,7.26234799048304,20.9952748588333,4.60417495628634e-06,0.000291915276538798,3.06930473184132
Sema4g,-3.26548100215597,2.49479573586305,20.9800200028611,4.64098172770341e-06,0.000292567488114423,-9.61629398507299
Zbtb46,-2.0586583297551,4.1093587857296,20.9071708530524,4.82086527184444e-06,0.000302180600448794,-4.16598697780096
Pgam1,0.871672189431335,9.0505323264108,20.8804834611693,4.8885006359562e-06,0.000304688920993609,1.8297825240544
Traf1,-1.52842682542089,6.40924130828224,20.794642285593,5.11257890408085e-06,0.000315346494183941,-2.88471106663833
Jam2,-1.77057985635416,4.69691548292591,20.7931131339493,5.11666265943849e-06,0.000315346494183941,-3.41191062641918
Cds1,-1.06499214834835,4.62056297937179,20.7129155159869,5.33549083637794e-06,0.000327006305038452,-2.09215849329487
Gng12,0.859300916420443,6.82827403056621,20.6749387432037,5.4423679421036e-06,0.000331713829487773,1.81415901454767
Capg,1.28158189044673,8.17450900631313,20.662694753947,5.47728192671756e-06,0.00033200755063488,2.4310539169832
Ttyh2,1.1093787489795,4.89322605696028,20.4513495765885,6.11664095215902e-06,0.000368736519039445,2.15752720204543
Il6st,-1.10940763263757,6.94939793037155,20.4292883212792,6.1875562647262e-06,0.000370984351698149,-2.15757039752335
Glrx,1.19528167451362,8.29582867691272,20.4139564148535,6.2373257704341e-06,0.000371946907564481,2.28989536106502
Mlxipl,-1.47127695720422,6.20173900655918,20.3938392106637,6.30323906637459e-06,0.000373856631076583,-2.77267199589326
Psd3,1.85151096062774,3.45127805845659,20.3195978292806,6.55259776766433e-06,0.000386568227662422,3.60877941193739
Snx29,-1.18592533418916,5.26648198836896,20.2728952170429,6.71451025746883e-06,0.000394013176385086,-2.27509270664853
Cfap74,-1.25353368507313,4.55662913566419,20.2616105908801,6.75423145982937e-06,0.000394246991877448,-2.38424697216767
Zfp69,-1.84581045133586,3.55814620300872,20.2489615477084,6.79903577731623e-06,0.000394773487870277,-3.59454820526317
Arhgef37,-2.12980052640551,3.66693946209462,20.1623776745538,7.1138414603162e-06,0.000410889523508944,-4.37656963873367
Ftl1,0.893724210944077,12.1805162786352,20.1182053440249,7.28004051089464e-06,0.000416728262914886,1.85796614127293
Napsa,-1.5388459410034,6.94779470396608,20.1154651173849,7.29047813112519e-06,0.000416728262914886,-2.9056198043401
Camkk2,-1.0924082083349,4.61373629222941,20.0879221655732,7.39622821226981e-06,0.000420593761019384,-2.13229671685293
Btla,-1.82482971865672,3.88611764350882,19.9905313816692,7.78265938571302e-06,0.000440298965862493,-3.54265191240986
Tln2,-1.36694184887975,5.48564740739572,19.9740802608245,7.84990772082455e-06,0.000441837663143553,-2.57923253735544
Ell2,1.09103895889548,5.02844145747262,19.9598277443996,7.90864012155356e-06,0.000442883846806999,2.13027393245688
Ajm1,-1.86316328792673,3.31519257741809,19.776994120496,8.70238609515677e-06,0.000484872340412977,-3.63804474714142
Tmem131l,-0.816309856549104,6.00690919841347,19.7609551577823,8.77572210262378e-06,0.000486501337870078,-1.76089618509477
Plk3,1.06608320587094,5.48757444522358,19.7098100819662,9.01374588719728e-06,0.000493831396951469,2.09374131472533
Rab39,-1.21615951328294,4.28495753707699,19.7049763342349,9.03657418407804e-06,0.000493831396951469,-2.32327432522374
Mymk,-3.69458079860144,2.27850008530289,19.7037794806923,9.04223551343335e-06,0.000493831396951469,-12.9473128398747
Ccl2,0.874894369488068,9.18589477515605,19.6239729309352,9.42788214103731e-06,0.000512356629457752,1.83387380985357
Chsy1,-0.876924822620993,5.20983569152915,19.557482080356,9.76176678443935e-06,0.000527901035127132,-1.83645662621165
Adam8,1.7770498617823,7.226552494331,19.5344138300507,9.88035740845009e-06,0.000531707819170836,3.42724626798372
H2ac19,3.70247423813055,2.20394387228079,19.4792947144864,1.01696080714241e-05,0.0005434488694201,13.0183458161228
Tuba1c,1.01680491190533,7.33689683940058,19.4741463999282,1.01970554722589e-05,0.0005434488694201,2.02343276533735
Treml4,-1.58307592756924,4.26513094131837,19.3520532064181,1.08702304017979e-05,0.000576540297079973,-2.99607954531126
Nav2,-1.64021780789257,5.17763357566489,19.3372325962551,1.09549260433936e-05,0.000578252364166116,-3.1171288851902
Hk3,0.737647133131855,8.11332960442158,19.1734838225501,1.19359944433058e-05,0.000627037574754997,1.66745419735692
Gpr183,-0.932573928045415,5.8889204193136,19.023422054997,1.29123725636596e-05,0.000672696765468113,-1.90867825398924
Pld3,0.981421977759613,8.22526940190403,19.0117668465273,1.29914831932026e-05,0.000672696765468113,1.97441050797176
Mmp12,2.06151881589236,6.77367974211943,19.0100805676707,1.30029691779273e-05,0.000672696765468113,4.17425523225925
Cyp27a1,-0.903678037329848,5.93744012330183,18.9970963859379,1.3091752396706e-05,0.000672696765468113,-1.87082944071105
Kcnip3,-2.67108380142246,2.71179700360898,18.9944349517181,1.31100257954717e-05,0.000672696765468113,-6.3690747381447
Ddah2,-1.80271844533769,3.27671825913391,18.9088420477998,1.37115669566525e-05,0.000698675555235725,-3.4887698924237
Uap1l1,0.704961617766486,6.7856010004004,18.9044760212144,1.37429836372509e-05,0.000698675555235725,1.6301012961382
Adcy6,-2.23117904964313,3.35295217756724,18.8952069456168,1.3809921125161e-05,0.000698858026847596,-4.69517538464545
Adam9,0.795609747427981,7.68999753533727,18.8377840717151,1.42319659212474e-05,0.000716927160014619,1.73581085056781
Dab2,1.39104594800367,7.57686143750588,18.792129318467,1.4576743512199e-05,0.000730957429211724,2.62268755636691
Fn1,1.49853370324848,9.10398789245948,18.7747472023946,1.47102046723643e-05,0.000733143290685905,2.82555388645216
Slc7a2,2.20665929980171,5.06759035302319,18.7691752108631,1.47532460598505e-05,0.000733143290685905,4.61605143595054
Nav1,-1.30815394808449,4.61934222259153,18.7468112894793,1.49272747607209e-05,0.000738465000718713,-2.47624480439342
Gpr132,-1.44020833615266,5.14013819110278,18.710858148719,1.52113826273689e-05,0.000749160594397918,-2.71360049118253
Carmil1,0.839661056864624,5.38251106168516,18.7022259332273,1.52804005631597e-05,0.000749215017834569,1.78962964138654
Zfp950,-0.872217419846679,5.37775257306903,18.6760125757698,1.54919203908217e-05,0.000756225069697101,-1.83047417516571
Ltb,-1.57194305757466,3.52707688158285,18.6461700072954,1.57363071962397e-05,0.00076477066514941,-2.97304862185842
Rhoc,1.32865869099703,4.65627852181662,18.5013371664677,1.69785138870604e-05,0.000817995917034489,2.5116904828568
Nrip1,-1.03422977672909,4.98958128208551,18.5011937007756,1.69797919688994e-05,0.000817995917034489,-2.04801996116204
Gpc2,-1.20916302492981,4.3785703298274,18.4882908463569,1.70951347199366e-05,0.000819134690749389,-2.31203465889067
Arid3b,-0.978575088803658,5.39019079701994,18.4819692998205,1.71519319763514e-05,0.000819134690749389,-1.97051821955883
